index,location,type,count,date
559,Rock Springs Elementary,Employees,1,2021-08-16
560,Rolling Hills Elementary,Employees,1,2021-08-16
561,Rosemont Elementary,Employees,1,2021-08-16
562,Shingle Creek Elementary,Employees,1,2021-08-16
563,Sunridge Elementary,Employees,1,2021-08-16
564,Teaching and Learning,Employees,1,2021-08-16
565,Timber Creek High,Employees,2,2021-08-16
566,University High,Employees,1,2021-08-16
567,Ventura Elementary,Employees,1,2021-08-16
568,Waterford Elementary,Employees,1,2021-08-16
569,West Orange High,Employees,1,2021-08-16
570,Westbrooke Elementary,Employees,1,2021-08-16
571,Wetherbee Elementary,Employees,1,2021-08-16
572,Wolf Lake Elementary,Employees,1,2021-08-16
573,Thornebrooke Elementary,Students,1,1900-01-01
