location,addr,level,lat,long
EAST RIVER HIGH,"650 EAST RIVER FALCONS WAY ORLANDO, FL 32833-2779",High,28.5572597,-81.13107
ECON RIVER HIGH CHARTER,"14180 E COLONIAL DR STE A ORLANDO, FL 32826-5065",High,28.564473,-81.1750082
EDGEWATER HIGH,"3100 EDGEWATER DR ORLANDO, FL 32804-3722",High,28.5797308,-81.392994
ESE TRANSITION,"555 S EOLA DR ORLANDO, FL 32801-3901",High,28.5356225,-81.3691225
EVANS HIGH,"4949 SILVER STAR RD ORLANDO, FL 32808-4594",High,28.5781101,-81.4478156
FREEDOM HIGH,"2500 TAFT VINELAND RD ORLANDO, FL 32837-7818",High,28.4160381,-81.4133032
HORIZON HIGH,"10393 SEIDEL ROAD WINTER GARDEN, FL 34787",High,28.4201879,-81.6243914
INNOVATION MONTESSORI HIGH CHARTER,"1644 N LAKEWOOD AVE OCOEE, FL 34761-3839",High,28.5927691,-81.5427801
JONES HIGH,"801 S RIO GRANDE AVE ORLANDO, FL 32805-3765",High,28.5333987,-81.3993922
LAKE BUENA VISTA HIGH,"11305 DARYL CARTER PARKWAY ORLANDO, FL 32836",High,28.4028044,-81.49283369999999
